prodcut_id,product_name,Product_dim_id
FUR-BO-4861,"Ikea Library with Doors, Mobile",1
OFF-SU-2988,"Acme Scissors, Easy Grip",2
TEC-MA-4211,"Epson Receipt Printer, White",3
FUR-FU-5726,"Rubbermaid Door Stop, Erganomic",4
OFF-EN-3664,"Cameo Interoffice Envelope, with clear poly window",5
FUR-TA-3420,"Bevis Conference Table, Fully Assembled",6
FUR-CH-4683,"Hon Rocking Chair, Red",7
TEC-PH-5814,"Samsung Audio Dock, VoIP",8
TEC-PH-3129,"Apple Audio Dock, VoIP",9
FUR-TA-3780,"Chromcraft Wood Table, with Bottom Storage",10
OFF-AP-4747,"Hoover Toaster, Red",11
TEC-CO-4588,"Hewlett Personal Copier, High-Speed",12
FUR-CH-4523,"Harbour Creations Chairmat, Black",13
FUR-TA-3758,"Chromcraft Coffee Table, with Bottom Storage",14
TEC-PH-5251,"Motorola Headset, Cordless",15
OFF-ST-5708,"Rogers Shelving, Wire Frame",16
FUR-FU-5727,"Rubbermaid Frame, Black",17
TEC-PH-5812,"Samsung Audio Dock, Cordless",18
OFF-PA-5890,"SanDisk Parchment Paper, 8.5 x 11",19
TEC-AC-4156,"Enermax Keyboard, Erganomic",20
OFF-AR-3457,"BIC Markers, Easy-Erase",21
TEC-AC-4178,"Enermax Numeric Keypad, Bluetooth",22
OFF-ST-4028,"Eldon Box, Blue",23
OFF-AR-3484,"Binney & Smith Highlighters, Water Color",24
OFF-SU-2966,"Acme Box Cutter, High Speed",25
TEC-AC-5217,"Memorex Mouse, Erganomic",26
OFF-PA-6609,"Xerox Memo Slips, 8.5 x 11",27
OFF-SU-2967,"Acme Box Cutter, Serrated",28
OFF-BI-4807,"Ibico Binder Covers, Clear",29
OFF-BI-6371,"Wilson Jones 3-Hole Punch, Economy",30
OFF-EN-5039,"Kraft Manila Envelope, Set of 50",31
OFF-LA-4529,"Harbour Creations Color Coded Labels, Laser Printer Compatible",32
OFF-BI-3247,"Avery Binder Covers, Durable",33
OFF-AR-3494,"Binney & Smith Pencil Sharpener, Water Color",34
OFF-BI-6376,"Wilson Jones Binder Covers, Economy",35
FUR-FU-3930,"Deflect-O Clock, Durable",36
FUR-FU-3941,"Deflect-O Frame, Duo Pack",37
OFF-FA-5482,"OIC Staples, Bulk Pack",38
OFF-LA-5389,"Novimex Legal Exhibit Labels, Alphabetical",39
OFF-PA-3995,"Eaton Memo Slips, Multicolor",40
OFF-FA-5467,"OIC Paper Clips, 12 Pack",41
